test_name,summarized_test_result,num_runs,num_pass,num_error,num_fail
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testAddSourceCommandTagNoSuccess,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testAddSourceCommandTagSuccess,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testAddSourceDataTagNoSuccess,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testAddSourceDataTagSuccess,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testAddSubEquipmentUnitSuccess,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testEquipmentConfigurationUpdate,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testFindCommandTagFailure,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testFindCommandTagSuccess,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testFindDataTagFailure,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testFindDataTagSuccess,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testNoCommandTagChangerForImplementationLayer,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testNoDataTagChangerForImplementationLayer,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testNoExistantEquipment,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testProcessConfigurationUpdate,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testRemoveExistentCommandDataTag,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testRemoveExistingSourceDataTag,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testRemoveNonExistentCommandDataTag,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testRemoveNonExistentSourceDataTag,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testUpdateDataTagNotExistant,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationControllerTest.testUpdateDataTagSuccess,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationUpdaterTest.testEquipmentConfigurationUpdate,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationUpdaterTest.testUpdateCommandTag,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ConfigurationUpdaterTest.testUpdateDataTag,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.EquipmentUnitAddRemoveTest.testonEquipmentUnitAdd1,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.EquipmentUnitAddRemoveTest.testonEquipmentUnitAdd2,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.EquipmentUnitAddRemoveTest.testonEquipmentUnitAddRemove,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ProcessConfigurationLoaderTest.testConfigRejectedException,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ProcessConfigurationLoaderTest.testConfigUnknownException,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.ProcessConfigurationLoaderTest.testCreateProcessConfiguration,pass,2600,2600,0,0
cern.c2mon.daq.common.conf.TagChangerHelperTest.hasHardwareAddressChangedEqualAdresses,pass,2600,2600,0,0
