test_name,summarized_test_result,num_runs,num_pass,num_error,num_fail
uk.co.flax.luwak.analysis.TestSuffixingNGramTokenizer.testLengthyTokensAreNotNgrammed,pass,2600,2600,0,0
uk.co.flax.luwak.analysis.TestSuffixingNGramTokenizer.testRepeatedInfixesAreNotEmitted,pass,2600,2600,0,0
uk.co.flax.luwak.analysis.TestSuffixingNGramTokenizer.testRepeatedSuffixesAreNotEmitted,pass,2600,2600,0,0
uk.co.flax.luwak.analysis.TestSuffixingNGramTokenizer.testTokensAreSuffixed,pass,2600,2600,0,0
uk.co.flax.luwak.analysis.TestTermsEnumTokenFilter.testPosIncAttributeOverflow,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestExplainingMatcher.testExplainingMatcher,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestExplainingMatcher.testHashcodeAndEquals,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.highlightBatches,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.multiFieldQueryMatches,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.singlePhraseQueryMatchesSingleDocument,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.singleTermQueryMatchesSingleDocument,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testComplexPhraseQueryParser,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testDisjunctionMaxQuery,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testDisjunctionWithOrderedNearMatch,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testDisjunctionWithOrderedNearSpans,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testDisjunctionWithUnorderedNearSpans,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testEquality,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testIdenticalMatches,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testMinShouldMatchQuery,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testMutliValuedFieldWithNonDefaultGaps,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testQueryErrors,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testToString,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testUnorderedNearWithinOrderedNear,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testUnrewritableQuery,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testWildcardBooleanRewrites,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testWildcardCombinations,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testWildcardProximityRewrites,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestHighlightingMatcher.testWildcards,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestParallelMatcher.testAllMatchesAreCollected,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestParallelMatcher.testMatchesAreDisambiguated,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestParallelMatcher.testParallelSlowLog,flaky,2600,2574,0,26
uk.co.flax.luwak.matchers.TestPartitionMatcher.testAllMatchesAreCollected,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestPartitionMatcher.testMatchesAreDisambiguated,pass,2600,2600,0,0
uk.co.flax.luwak.matchers.TestPartitionMatcher.testParallelSlowLog,flaky,2600,2596,0,4
uk.co.flax.luwak.matchers.TestSimpleMatcher.testSimpleMatcher,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldFilteredMultipassPresearcher.filtersOnNumericTermQueries,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldFilteredMultipassPresearcher.testAnyTokenHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldFilteredMultipassPresearcher.testBatchesWithDissimilarFieldValuesThrowExceptions,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldFilteredMultipassPresearcher.testBatchFiltering,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldFilteredMultipassPresearcher.testDebugQueries,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldFilteredMultipassPresearcher.testEmptyMonitorHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldFilteredMultipassPresearcher.testFieldFiltering,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldFilteredMultipassPresearcher.testFilteringOnMatchAllQueries,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldFilteredMultipassPresearcher.testMatchAllQueryHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldFilteredMultipassPresearcher.testNegativeQueryHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldFilteredMultipassPresearcher.testNonStringTermHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldFilteredMultipassPresearcher.testNullFieldHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldTermFilteredPresearcher.filtersOnNumericTermQueries,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldTermFilteredPresearcher.testAnyTokenHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldTermFilteredPresearcher.testBatchesWithDissimilarFieldValuesThrowExceptions,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldTermFilteredPresearcher.testBatchFiltering,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldTermFilteredPresearcher.testDebugQueries,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldTermFilteredPresearcher.testEmptyMonitorHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldTermFilteredPresearcher.testFieldFiltering,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldTermFilteredPresearcher.testFilteringOnMatchAllQueries,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldTermFilteredPresearcher.testMatchAllQueryHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldTermFilteredPresearcher.testNegativeQueryHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldTermFilteredPresearcher.testNonStringTermHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestFieldTermFilteredPresearcher.testNullFieldHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMatchAllPresearcher.filtersOnNumericTermQueries,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMatchAllPresearcher.testAnyTokenHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMatchAllPresearcher.testEmptyMonitorHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMatchAllPresearcher.testMatchAllQueryHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMatchAllPresearcher.testNegativeQueryHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMatchAllPresearcher.testNonStringTermHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMatchAllPresearcher.testNullFieldHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMultipassPresearcher.filtersOnNumericTermQueries,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMultipassPresearcher.testAnyTokenHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMultipassPresearcher.testComplexBoolean,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMultipassPresearcher.testEmptyMonitorHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMultipassPresearcher.testMatchAllQueryHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMultipassPresearcher.testNegativeQueryHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMultipassPresearcher.testNonStringTermHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMultipassPresearcher.testNullFieldHandling,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMultipassPresearcher.testQueryBuilder,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestMultipassPresearcher.testSimpleBoolean,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestPresearcherMatchCollector.testMatchCollectorShowMatches,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestTermPresearcher.filtersOnNumericTermQueries,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestTermPresearcher.filtersOnTermQueries,pass,2600,2600,0,0
uk.co.flax.luwak.presearcher.TestTermPresearcher.ignoresTermsOnNotQueries,pass,2600,2600,0,0
