test_name,summarized_test_result,num_runs,num_pass,num_error,num_fail
org.fluentd.logger.sender.TestNullSender.testNormal,pass,1800,1800,0,0
org.fluentd.logger.sender.TestRawSocketSender.testBufferingAndResending,pass,1800,1800,0,0
org.fluentd.logger.sender.TestRawSocketSender.testBufferOverflow,pass,1800,1800,0,0
org.fluentd.logger.sender.TestRawSocketSender.testNormal01,pass,1800,1800,0,0
org.fluentd.logger.sender.TestRawSocketSender.testNormal02,pass,1800,1800,0,0
org.fluentd.logger.sender.TestRawSocketSender.testNormal03,pass,1800,1800,0,0
org.fluentd.logger.sender.TestRawSocketSender.testReconnectAfterBufferFull,pass,1800,1800,0,0
org.fluentd.logger.sender.TestRawSocketSender.testTimeout,pass,1800,1800,0,0
org.fluentd.logger.sender.TestSenderFluentdDownOperation.testFluentdDownOperation01,pass,1800,1800,0,0
org.fluentd.logger.sender.TestSenderFluentdDownOperation.testFluentdDownOperation02,pass,1800,1800,0,0
org.fluentd.logger.TestFluentLogFactory.testGetLogger,pass,1800,1800,0,0
org.fluentd.logger.TestFluentLogFactory.testItHoldsLoggersOverGC,pass,1800,1800,0,0
org.fluentd.logger.TestFluentLogger.testClose,flaky,1800,1798,0,2
org.fluentd.logger.TestFluentLogger.testFlushOnClose,flaky,1800,1798,0,2
org.fluentd.logger.TestFluentLogger.testInMultiThreading,pass,1800,1800,0,0
org.fluentd.logger.TestFluentLogger.testNormal01,pass,1800,1800,0,0
org.fluentd.logger.TestFluentLogger.testNormal02,pass,1800,1800,0,0
org.fluentd.logger.TestFluentLogger.testReconnection,pass,1800,1800,0,0
