test_name,summarized_test_result,num_runs,num_pass,num_error,num_fail
net.redpipe.discovery.DiscoveryTest.checkServiceDiscovery,pass,1800,1800,0,0
net.redpipe.discovery.DiscoveryTest.checkWebClient,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkAuthRoleCheckDenied,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkAuthRoleCheckDeniedRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkAuthRoleCheckOK,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkAuthRoleCheckOKRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkAuthRoleForbidden,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkAuthRoleForbiddenRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkAuthRoleOK,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkAuthRoleOKRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkCompletableRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkCompletableRx2,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkContextCompletable,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkContextFlowable,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkContextMaybe,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkContextObservable,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkContextObservableRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkContextSingle,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkContextSingleRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkEmptyMaybe,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkErrorCodeRespected,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkFulfilledMaybe,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkHelloObservable,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkHelloObservableCollect,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkHelloObservableCollectRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkHelloObservableRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkHelloObservableSSE,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkHelloObservableSSERx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkHelloSingle,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkHelloSingleRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkInject,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkInjectRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkInjectUser,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkInjectUserInvalid,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkInjectUserInvalidRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkInjectUserRequired,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkInjectUserRequiredRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkInjectUserRx1,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkPlainHello,pass,1800,1800,0,0
net.redpipe.engine.ApiTest.checkSession,pass,1800,1800,0,0
net.redpipe.engine.ServerExtendableTest.checkHasNoSession,pass,1800,1800,0,0
net.redpipe.engine.swagger.SwaggerApiTest.checkSwagger,pass,1800,1800,0,0
net.redpipe.example.wiki.shiroJdbc.ApiTest.playWithApi,pass,1800,1800,0,0
