test_name,summarized_test_result,num_runs,num_pass,num_error,num_fail
retrofit2.adapter.rxjava.AsyncTest.bodyThrowingInOnErrorDeliveredToPlugin,pass,3600,3600,0,0
retrofit2.adapter.rxjava.AsyncTest.bodyThrowingInOnSafeSubscriberErrorDeliveredToPlugin,pass,3600,3600,0,0
retrofit2.adapter.rxjava.AsyncTest.failure,pass,3600,3600,0,0
retrofit2.adapter.rxjava.AsyncTest.success,pass,3600,3600,0,0
retrofit2.adapter.rxjava.AsyncTest.throwingInOnCompleteDeliveredToPlugin,pass,3600,3600,0,0
retrofit2.adapter.rxjava.CancelDisposeTest.cancelDoesNotDispose,pass,3600,3600,0,0
retrofit2.adapter.rxjava.CancelDisposeTest.disposeCancelsCall,pass,3600,3600,0,0
retrofit2.adapter.rxjava.CompletableTest.completableFailure,pass,3600,3600,0,0
retrofit2.adapter.rxjava.CompletableTest.completableSuccess200,pass,3600,3600,0,0
retrofit2.adapter.rxjava.CompletableTest.completableSuccess404,pass,3600,3600,0,0
retrofit2.adapter.rxjava.CompletableThrowingSafeSubscriberTest.bodyThrowingInOnErrorDeliveredToPlugin,pass,3600,3600,0,0
retrofit2.adapter.rxjava.CompletableThrowingSafeSubscriberTest.throwingInOnCompleteDeliveredToPlugin,flaky,3600,3522,78,0
retrofit2.adapter.rxjava.CompletableThrowingTest.bodyThrowingInOnErrorDeliveredToPlugin,pass,3600,3600,0,0
retrofit2.adapter.rxjava.CompletableThrowingTest.throwingInOnCompleteDeliveredToPlugin,pass,3600,3600,0,0
retrofit2.adapter.rxjava.CompletableWithSchedulerTest.completableUsesScheduler,pass,3600,3600,0,0
retrofit2.adapter.rxjava.ObservableTest.bodyFailure,pass,3600,3600,0,0
retrofit2.adapter.rxjava.ObservableTest.bodyRespectsBackpressure,pass,3600,3600,0,0
retrofit2.adapter.rxjava.ObservableTest.bodySuccess200,pass,3600,3600,0,0
retrofit2.adapter.rxjava.ObservableTest.bodySuccess404,pass,3600,3600,0,0
retrofit2.adapter.rxjava.ObservableTest.responseFailure,pass,3600,3600,0,0
retrofit2.adapter.rxjava.ObservableTest.responseRespectsBackpressure,pass,3600,3600,0,0
retrofit2.adapter.rxjava.ObservableTest.responseSuccess200,pass,3600,3600,0,0
retrofit2.adapter.rxjava.ObservableTest.responseSuccess404,pass,3600,3600,0,0
retrofit2.adapter.rxjava.ObservableTest.responseUnsubscribedDoesNotCallCompleted,pass,3600,3600,0,0
retrofit2.adapter.rxjava.ObservableTest.resultFailure,pass,3600,3600,0,0
