test_name,summarized_test_result,num_runs,num_pass,num_error,num_fail
org.java_websocket.client.AttachmentTest.testDefaultValue,pass,3200,3200,0,0
org.java_websocket.client.AttachmentTest.testSetter,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.acceptHandshakeAsClient,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.acceptHandshakeAsServer,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.createFramesBinary,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.createFramesText,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.postProcessHandshakeRequestAsClient,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.postProcessHandshakeResponseAsServer,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.testConstructor,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.testCopyInstance,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.testEquals,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.testGetCloseHandshakeType,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.testGetExtension,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.testGetKnownExtensions,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.testGetKnownProtocols,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.testGetProtocol,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.testHashCode,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.testReset,pass,3200,3200,0,0
org.java_websocket.drafts.Draft_6455Test.testToString,pass,3200,3200,0,0
org.java_websocket.extensions.DefaultExtensionTest.testAcceptProvidedExtensionAsClient,pass,3200,3200,0,0
org.java_websocket.extensions.DefaultExtensionTest.testAcceptProvidedExtensionAsServer,pass,3200,3200,0,0
org.java_websocket.extensions.DefaultExtensionTest.testCopyInstance,pass,3200,3200,0,0
org.java_websocket.extensions.DefaultExtensionTest.testDecodeFrame,pass,3200,3200,0,0
org.java_websocket.extensions.DefaultExtensionTest.testEncodeFrame,pass,3200,3200,0,0
org.java_websocket.extensions.DefaultExtensionTest.testEquals,pass,3200,3200,0,0
org.java_websocket.extensions.DefaultExtensionTest.testGetProvidedExtensionAsClient,pass,3200,3200,0,0
org.java_websocket.extensions.DefaultExtensionTest.testGetProvidedExtensionAsServer,pass,3200,3200,0,0
org.java_websocket.extensions.DefaultExtensionTest.testHashCode,pass,3200,3200,0,0
org.java_websocket.extensions.DefaultExtensionTest.testIsFrameValid,pass,3200,3200,0,0
org.java_websocket.extensions.DefaultExtensionTest.testToString,pass,3200,3200,0,0
org.java_websocket.framing.BinaryFrameTest.testConstructor,pass,3200,3200,0,0
org.java_websocket.framing.BinaryFrameTest.testExtends,pass,3200,3200,0,0
org.java_websocket.framing.BinaryFrameTest.testIsValid,pass,3200,3200,0,0
org.java_websocket.framing.CloseFrameTest.testConstructor,pass,3200,3200,0,0
org.java_websocket.framing.CloseFrameTest.testExtends,pass,3200,3200,0,0
org.java_websocket.framing.CloseFrameTest.testIsValid,pass,3200,3200,0,0
org.java_websocket.framing.ContinuousFrameTest.testConstructor,pass,3200,3200,0,0
org.java_websocket.framing.ContinuousFrameTest.testExtends,pass,3200,3200,0,0
org.java_websocket.framing.ContinuousFrameTest.testIsValid,pass,3200,3200,0,0
org.java_websocket.framing.FramedataImpl1Test.testAppend,pass,3200,3200,0,0
org.java_websocket.framing.FramedataImpl1Test.testDefaultValues,pass,3200,3200,0,0
org.java_websocket.framing.FramedataImpl1Test.testGet,pass,3200,3200,0,0
org.java_websocket.framing.FramedataImpl1Test.testSetters,pass,3200,3200,0,0
org.java_websocket.framing.PingFrameTest.testConstructor,pass,3200,3200,0,0
org.java_websocket.framing.PingFrameTest.testExtends,pass,3200,3200,0,0
org.java_websocket.framing.PingFrameTest.testIsValid,pass,3200,3200,0,0
org.java_websocket.framing.PongFrameTest.testConstructor,pass,3200,3200,0,0
org.java_websocket.framing.PongFrameTest.testCopyConstructor,pass,3200,3200,0,0
org.java_websocket.framing.PongFrameTest.testExtends,pass,3200,3200,0,0
org.java_websocket.framing.PongFrameTest.testIsValid,pass,3200,3200,0,0
org.java_websocket.framing.TextFrameTest.testConstructor,pass,3200,3200,0,0
