test_name,summarized_test_result,num_runs,num_pass,num_error,num_fail
io.vertx.rabbitmq.impl.UtilsTest.testConvertWithHeaders,pass,1800,1800,0,0
io.vertx.rabbitmq.impl.UtilsTest.testConvertWithHeadersEmpty,pass,1800,1800,0,0
io.vertx.rabbitmq.impl.UtilsTest.testConvertWithHeadersNull,pass,1800,1800,0,0
io.vertx.rabbitmq.RabbitMQClientReconnectTest.testReconnect,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQClientReconnectTest.testReconnectFail,pass,1800,1800,0,0
io.vertx.rabbitmq.RabbitMQConsumptionStreamingTest.consumerTagShouldBeTheSameAsInAMessage,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQConsumptionStreamingTest.endHandlerAndCancelShouldWorks,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQConsumptionStreamingTest.keepMostRecentOptionShouldWorks,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQConsumptionStreamingTest.pauseAndResumeShouldWork,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQOptionsTest.testFromJsonAndCopy,pass,1800,1800,0,0
io.vertx.rabbitmq.RabbitMQServiceTest.consumerPrefetch,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testBasicCancel,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testBasicConsume,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testBasicConsumeNoAutoAck,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testBasicConsumer,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testBasicConsumerNoAutoAck,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testBasicConsumerWithErrorHandler,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testBasicConsumeWithErrorHandler,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testBasicGet,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testBasicPublish,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testBasicPublishJson,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testBasicPublishWithConfirm,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testBasicPublishWithConfirmAndTimeout,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testDeclareExchangeWithAlternateExchange,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testDeclareExchangeWithDLX,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testGetMessageCount,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testIsConnected,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testIsOpenChannel,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testMessageOrderingWhenConsuming,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testMessageOrderingWhenConsumingNewApi,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testQueueDeclareAndDelete,pass,1800,0,1800,0
io.vertx.rabbitmq.RabbitMQServiceTest.testQueueDeclareAndDeleteWithConfig,pass,1800,0,1800,0
