test_name,summarized_test_result,num_runs,num_pass,num_error,num_fail
ro.isdc.wro.extensions.http.handler.spi.TestDefaultRequestHandlerProvider.shoudProvideAtLeastOneRequestHandler,pass,3600,3600,0,0
ro.isdc.wro.extensions.http.handler.spi.TestDefaultRequestHandlerProvider.shouldNotFailWhenEachHandlerIsInvoked,pass,3600,3600,0,0
ro.isdc.wro.extensions.http.handler.TestModelAsJsonRequestHandler.shouldAcceptRequestsWithCorrectURI,pass,3600,3600,0,0
ro.isdc.wro.extensions.http.handler.TestModelAsJsonRequestHandler.shouldAcceptUri,pass,3600,3600,0,0
ro.isdc.wro.extensions.http.handler.TestModelAsJsonRequestHandler.shouldBeEnabledByDefault,pass,3600,3600,0,0
ro.isdc.wro.extensions.http.handler.TestModelAsJsonRequestHandler.shouldGenerateModelAsJson,pass,3600,3600,0,0
ro.isdc.wro.extensions.http.handler.TestModelAsJsonRequestHandler.shouldNotAcceptRequestsWithWrongURI,pass,3600,3600,0,0
ro.isdc.wro.extensions.http.handler.TestModelAsJsonRequestHandler.shouldNotProvideProxyUriForExternalResources,pass,3600,3600,0,0
ro.isdc.wro.extensions.http.handler.TestModelAsJsonRequestHandler.shouldSetCorrectContentType,pass,3600,3600,0,0
ro.isdc.wro.extensions.http.TestConfigurableWroFilter.shouldAcceptValidProcessorNameConfiguration,pass,3600,3600,0,0
ro.isdc.wro.extensions.http.TestConfigurableWroFilter.shouldBeConfiguredBySpring,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarsUriLocator.cannotCreateValidUriFromNullArgument,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarsUriLocator.cannotFindInvalidWebjar,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarsUriLocator.shouldAcceptKnownUri,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarsUriLocator.shouldCreateValidUri,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarsUriLocator.shouldFindValidWebjar,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarsUriLocator.shouldLocateWebjarResourceContainingQuestionMarkInUri,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarsUriLocator.shouldNotAcceptUnknown,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarsUriLocator.shouldNotFailWhenThereIsAWebjarResourceOutsideOfJar,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarUriLocator.cannotCreateValidUriFromNullArgument,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarUriLocator.cannotFindInvalidWebjar,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarUriLocator.shouldAcceptKnownUri,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarUriLocator.shouldCreateValidUri,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarUriLocator.shouldFindValidWebjar,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarUriLocator.shouldLocateWebjarResourceContainingQuestionMarkInUri,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarUriLocator.shouldNotAcceptUnknown,pass,3600,3600,0,0
ro.isdc.wro.extensions.locator.TestWebjarUriLocator.shouldNotFailWhenThereIsAWebjarResourceOutsideOfJar,pass,3600,3600,0,0
ro.isdc.wro.extensions.manager.factory.TestBaseWroManagerFactory.defaultModelFactoryIsXml,pass,3600,3600,0,0
ro.isdc.wro.extensions.manager.factory.TestBaseWroManagerFactory.shouldNotFailWhenDestroyingUninitializedFactory,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestConfigurableModelFactory.cannotConfigureInvalidStrategy,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestConfigurableModelFactory.shouldHaveMoreThanOneAvailableStrategy,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestConfigurableModelFactory.shouldUseCorrectDefaultStrategy,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelFactory.createGroupReferenceOrderShouldNotMatter,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelFactory.createIncompleteModel,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelFactory.createValidModel,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelFactory.createValidModelContainingHiphen,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelFactory.decoratedModelShouldBeThreadSafe,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelFactory.shouldBeThreadSafe,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelFactory.shouldSupportAbstractGroup,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelFactory.testDuplicateGroupName,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelFactory.testInvalidStream,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelFactory.testRecursiveGroupReference,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelParser.testAbstractGroup,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelParser.testGroupDelegate,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelParser.testGroupWithGroupRef,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelParser.testGroupWithGroupRefImplicit,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelParser.testGroupWithGroupRefWithoutOrder,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelParser.testGroupWithUnknownGroupRef,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelParser.testMultipleGroupWithGroupRef,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelParser.testParse,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelParser.testResourceDelegate,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestGroovyModelParser.testWroModelDelegate,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestJsonModelFactory.createIncompleteModel,pass,3600,3600,0,0
ro.isdc.wro.extensions.model.factory.TestJsonModelFactory.createValidModel,pass,3600,3600,0,0
